item,ident,depicts,typeLabel,depictsLabel,coords,itemLabel
http://www.wikidata.org/entity/Q21665466,003364660,http://www.wikidata.org/entity/Q467,,woman,,A group of one woman and three children
http://www.wikidata.org/entity/Q21665467,003362373,http://www.wikidata.org/entity/Q83405,,factory,,"Interior of Spring Mills, Llanidloes"
http://www.wikidata.org/entity/Q21665467,003362373,http://www.wikidata.org/entity/Q173056,,loom,,"Interior of Spring Mills, Llanidloes"
http://www.wikidata.org/entity/Q21665467,003362373,http://www.wikidata.org/entity/Q327055,,worker,,"Interior of Spring Mills, Llanidloes"
http://www.wikidata.org/entity/Q21665467,003362373,http://www.wikidata.org/entity/Q1505660,,textile manufacturing,,"Interior of Spring Mills, Llanidloes"
http://www.wikidata.org/entity/Q21665467,003362373,http://www.wikidata.org/entity/Q2741834,town,Llanidloes,Point(-3.5402 52.449),"Interior of Spring Mills, Llanidloes"
http://www.wikidata.org/entity/Q21665467,003362373,http://www.wikidata.org/entity/Q2741834,community,Llanidloes,Point(-3.5402 52.449),"Interior of Spring Mills, Llanidloes"
http://www.wikidata.org/entity/Q21665464,003363969,http://www.wikidata.org/entity/Q3537778,organisms known by a particular common name,donkey,,"A group of musicians outside the Sun Inn, Churchstoke"
http://www.wikidata.org/entity/Q21665464,003363969,http://www.wikidata.org/entity/Q5116688,village,Churchstoke,Point(-3.077 52.54),"A group of musicians outside the Sun Inn, Churchstoke"
http://www.wikidata.org/entity/Q21665464,003363969,http://www.wikidata.org/entity/Q5116688,community,Churchstoke,Point(-3.077 52.54),"A group of musicians outside the Sun Inn, Churchstoke"
http://www.wikidata.org/entity/Q21665465,003364816,http://www.wikidata.org/entity/Q467,,woman,,A group of one woman and four children
http://www.wikidata.org/entity/Q21665470,003361265,http://www.wikidata.org/entity/Q171923,town,Bala,Point(-3.596 52.911),A group outside of Bala College
http://www.wikidata.org/entity/Q21665470,003361265,http://www.wikidata.org/entity/Q171923,community,Bala,Point(-3.596 52.911),A group outside of Bala College
http://www.wikidata.org/entity/Q21665471,003363242,http://www.wikidata.org/entity/Q726,taxon,horse,,A horse (Davies)
http://www.wikidata.org/entity/Q21665468,003361781,http://www.wikidata.org/entity/Q2191986,population group,elderly people,,A group of women from Ysbyty Ifan almshouses
http://www.wikidata.org/entity/Q21665468,003361781,http://www.wikidata.org/entity/Q2191986,cohort,elderly people,,A group of women from Ysbyty Ifan almshouses
http://www.wikidata.org/entity/Q21665468,003361781,http://www.wikidata.org/entity/Q2191986,demographic profile,elderly people,,A group of women from Ysbyty Ifan almshouses
http://www.wikidata.org/entity/Q21665468,003361781,http://www.wikidata.org/entity/Q3406271,village,Ysbyty Ifan,Point(-3.723 53.021),A group of women from Ysbyty Ifan almshouses
